policy,read_pct,pool,logical_reads,logical_writes,phys_reads,phys_writes,buf_hits,buf_misses,evictions,dirty_evictions
LRU,0,16,5000,5000,3844,3844,1156,3844,3828,3828
MRU,0,16,5000,5000,4499,4499,501,4499,4483,4483
LRU,10,16,5000,4481,3922,3584,1078,3922,3906,3570
MRU,10,16,5000,4481,4498,4066,502,4498,4482,4052
LRU,25,16,5000,3770,3859,3072,1141,3859,3843,3058
MRU,25,16,5000,3748,4627,3526,373,4627,4611,3514
LRU,50,16,5000,2502,3840,2163,1160,3840,3824,2157
MRU,50,16,5000,2480,4549,2354,451,4549,4533,2346
LRU,75,16,5000,1260,3861,1158,1139,3861,3845,1156
MRU,75,16,5000,1228,4541,1196,459,4541,4525,1192
LRU,90,16,5000,513,3848,497,1152,3848,3832,495
MRU,90,16,5000,490,4477,482,523,4477,4461,479
LRU,100,16,5000,0,3864,0,1136,3864,3848,0
MRU,100,16,5000,0,4395,0,605,4395,4379,0
